sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:Addition description,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
765.27.02,PREMATURITY 34 WEEKS,163,,,0.79,APPROVED,37016212,Baby premature 34 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.56E+16,20160131,20991231,
765.28.01,PREMATURITY 35 WEEKS,251,,,0.78,APPROVED,37016211,Baby premature 35 weeks,SNOMED,Condition,S,0,1,Clinical Finding,1.56E+16,20160131,20991231,
286.3.09,congenital deficiency of clooting factors,3,,,0.73,APPROVED,4121109,Congenital deficiency of intrinsic factor,SNOMED,Condition,S,0,2,Clinical Finding,234361004,20020131,20991231,
276.2.03,RESPIRATORY ACIDOSIS,2,,,1,APPROVED,4048509,Respiratory acidosis,SNOMED,Condition,S,4,1,Clinical Finding,12326000,20020131,20991231,
765.28.02,PREMATURITY 36 WEEKS,518,,,0.8,APPROVED,4149451,Baby premature 36 weeks,SNOMED,Condition,S,0,1,Clinical Finding,310530008,20020131,20991231,
459.81.1,CHRONIC VENOUS INSUFFICIENCY,1,,,1,APPROVED,321596,Peripheral venous insufficiency,SNOMED,Condition,S,3,2,Clinical Finding,20696009,20020131,20991231,
286.3.04,FACTOR V DEFICIENCY (LABILE) (OWRENS DISEASE) (PARAHEMIPHILIA,11,,,0.48,APPROVED,4182879,Factor V deficiency,SNOMED,Condition,S,3,1,Clinical Finding,4320005,20020131,20991231,
428.0.01,congestive heart disease,19,,,1,APPROVED,319835,Congestive heart failure,SNOMED,Condition,S,20,3,Clinical Finding,42343007,20020131,20991231,
457.8.04,CHYLOTHORAX,4,,,1,APPROVED,4306136,Chylothorax,SNOMED,Condition,S,8,1,Clinical Finding,83035003,20020131,20991231,
518.89.2,RESTRICTIVE LUNG DISEASE,2,,,1,APPROVED,4266931,Restrictive lung disease,SNOMED,Condition,S,5,1,Clinical Finding,36485005,20020131,20991231,
659.73.2,NON REASSURING FETAL HEART RATE OR RHYTHM ANTEPARTUM,10,,,0.68,APPROVED,4305304,Nonreassuring fetal status,SNOMED,Condition,S,8,2,Clinical Finding,130955003,20020131,20991231,
289.81.2,ANTITHROMBIN III DEFICIENCY,2,,,1,APPROVED,4264220,Antithrombin III deficiency,SNOMED,Condition,S,3,2,Clinical Finding,36351005,20020131,20991231,
079.59.1,RETROVIRAL SYNDROME,5,,,0.8,APPROVED,40493255,Viral syndrome,SNOMED,Condition,S,1,1,Clinical Finding,445939008,20110131,20991231,
289.81.3,FACTOR V LEIDEN MUTATION,172,,,1,APPROVED,4145702,Factor V Leiden mutation,SNOMED,Condition,S,2,1,Clinical Finding,307091009,20020131,20991231,
389.9.01,deafness hearing loss,4,,,0.73,APPROVED,377889,Hearing loss,SNOMED,Condition,S,46,1,Clinical Finding,15188001,20020131,20991231,
692.9.01,dermatitis,2,,,1,APPROVED,45766714,Inflammatory dermatosis,SNOMED,Condition,S,121,3,Clinical Finding,703938007,20150131,20991231,
424.1.01,AORTIC REGURGITATION,5,,,1,APPROVED,315564,Aortic valve regurgitation,SNOMED,Condition,S,15,3,Clinical Finding,60234000,20020131,20991231,
692.9.03,eczema,1,,,1,APPROVED,133835,Eczema,SNOMED,Condition,S,45,1,Clinical Finding,43116000,20020131,20991231,
747.41.09,TOTAL ANOMALOUS PULMONARY VENOUS CONNECTION,1,,,1,APPROVED,432432,Total anomalous pulmonary venous return,SNOMED,Condition,S,2,1,Clinical Finding,111323005,20020131,20991231,
8.45,CLOSTRIDIUM DIFFICILE (PSEUDOMEMBRANOUS)  ENTEROCOLITIS,7,,,0.56,APPROVED,4307981,Clostridium difficile colitis,SNOMED,Condition,S,0,2,Clinical Finding,423590009,20070131,20991231,
424.1.02,AORTIC STENOSIS,18,,,0.8,APPROVED,4189343,Aortic valve stenosis,SNOMED,Condition,S,18,2,Clinical Finding,60573004,20020131,20991231,
286.3.03,factor II deficiency (prothrombin,24,,,0.78,APPROVED,4253058,Factor II deficiency,SNOMED,Condition,S,2,2,Clinical Finding,73975000,20020131,20991231,
714.30.1,RHEUMATOID ARTHRITIS  JUVENILE,2,,,0.71,APPROVED,4253901,Juvenile rheumatoid arthritis,SNOMED,Condition,S,7,1,Clinical Finding,410795001,20040731,20991231,
286.3.05,FACTOR VII DEFICIENCY (STABLE)(HYPOPROCONVERTINEMIA,1,,,0.54,APPROVED,4290160,Factor VII deficiency,SNOMED,Condition,S,2,2,Clinical Finding,37193007,20020131,20991231,
659.70.2,NON REASSURING FETAL HEART RATE OR RHYTHM UNSPECIFIED,253,,,0.65,APPROVED,314099,Abnormal fetal heart rate,SNOMED,Condition,S,5,2,Clinical Finding,312668007,20020131,20991231,
659.70.2,NON REASSURING FETAL HEART RATE OR RHYTHM UNSPECIFIED,253,,,0.65,APPROVED,73268,Fetal distress affecting management of mother,SNOMED,Condition,S,2,3,Clinical Finding,12867002,20020131,20991231,
286.3.05,factor VII deficiency,2,,,1,APPROVED,4290160,Factor VII deficiency,SNOMED,Condition,S,2,2,Clinical Finding,37193007,20020131,20991231,
750.3.06,TRACHEO-ESOPHAGEAL FISTULA CONGENITAL,5,,,0.81,APPROVED,4113421,Congenital tracheo-esophageal cleft,SNOMED,Condition,S,0,3,Clinical Finding,253741006,20020131,20991231,
754.89.02,CLUB HAND CONGENITAL,3,,,0.66,APPROVED,4042914,Talipomanus,SNOMED,Condition,S,4,2,Clinical Finding,16603000,20020131,20991231,
742.8.03,FAMILIAL DYSAUTONOMIA,6,,,1,APPROVED,4104196,Familial dysautonomia,SNOMED,Condition,S,0,1,Clinical Finding,29159009,20020131,20991231,
78.5,CMV,17,,,1,APPROVED,440032,Cytomegalovirus infection,SNOMED,Condition,S,21,1,Clinical Finding,28944009,20020131,20991231,
289.81.9,PRIMARY HYPERCOAGULABLE STATE,14,,,0.84,APPROVED,4295287,Hypercoagulability state,SNOMED,Condition,S,1,1,Clinical Finding,76612001,20020131,20991231,
348.0.05,NOT SPECIFIED BRAIN CYST,7,,,0.74,APPROVED,380702,Cerebral cyst,SNOMED,Condition,S,16,3,Clinical Finding,40720005,20020131,20991231,
244.9.01,PRIMARY HYPOTHYROIDISM,32,,,1,APPROVED,40609121,Primary hypothyroidism,SNOMED,Condition,S,5,1,Clinical Finding,57185003,19700101,20991231,
275.3.03,FAMILIAL HYPOPHOSPHATEMIA,1,,,1,APPROVED,4305482,Familial x-linked hypophosphatemic vitamin D refractory rickets,SNOMED,Condition,S,1,5,Clinical Finding,82236004,20020131,20991231,
747.21.04,RIGHT AORTIC ARCH WITH LEFT LIGAMENTUM ARTERIOSUM,1,,,0.83,APPROVED,42873065,Vascular ring with right aortic arch and left arterial ligament,SNOMED,Condition,S,3,1,Clinical Finding,450315001,20120731,20991231,
750.3.11,TRACHEOESOPHAGEAL ATRESIA,2,,,0.81,APPROVED,4095108,Congenital atresia of esophagus,SNOMED,Condition,S,4,2,Clinical Finding,26179002,20020131,20991231,
286.9.09,COAGULOPATHY,2,,,1,APPROVED,432585,Blood coagulation disorder,SNOMED,Condition,S,32,3,Clinical Finding,64779008,20020131,20991231,
780.79.06,APATHY,1,,,1,APPROVED,4071366,Indifference,SNOMED,Condition,S,2,3,Clinical Finding,20602000,20020131,20991231,
428.0.02,RIGHT HEART FAILURE,1,,,1,APPROVED,4273632,Right ventricular failure,SNOMED,Condition,S,9,2,Clinical Finding,367363000,20020131,20991231,
742.8.03,familial dysautonomia,1,,,1,APPROVED,4104196,Familial dysautonomia,SNOMED,Condition,S,0,1,Clinical Finding,29159009,20020131,20991231,
558.9.01,COLITIS,8,,,1,APPROVED,4272488,Colitis,SNOMED,Condition,S,48,2,Clinical Finding,64226004,20020131,20991231,
745.10.01,TRANSPOSITION OF GREAT ARTERIES,11,,,1,APPROVED,432431,Discordant ventriculoarterial connection,SNOMED,Condition,S,7,2,Clinical Finding,204296002,20020131,20991231,
757.39.08,APLASIA CUTIS - CONGENITAL SKIN APLASIA,2,,,0.76,APPROVED,4148874,Aplasia cutis congenita,SNOMED,Condition,S,18,2,Clinical Finding,35484002,20020131,20991231,
54.1,genital herpes,8,,,0.79,APPROVED,74855,Genital herpes simplex,SNOMED,Condition,S,8,3,Clinical Finding,33839006,20020131,20991231,
757.39.05,APLASIA CUTIS SCALP,4,,,0.68,APPROVED,4148874,Aplasia cutis congenita,SNOMED,Condition,S,18,2,Clinical Finding,35484002,20020131,20991231,
v02.61,hepatits b carrier,6,,,0.87,APPROVED,4340379,Hepatitis B carrier,SNOMED,Condition,S,0,1,Clinical Finding,235871004,20020131,20991231,
781.0.04,TREMOR,2,,,1,APPROVED,443782,Tremor,SNOMED,Condition,S,46,1,Clinical Finding,26079004,20020131,20991231,
553.1.01,hernia umbilical,5,,,0.77,APPROVED,4245842,Umbilical hernia,SNOMED,Condition,S,10,2,Clinical Finding,396347007,20030731,20991231,
770.82.01,APNEA OF PREMATURITY,14,,,1,APPROVED,4079848,Apnea of prematurity,SNOMED,Condition,S,0,3,Clinical Finding,276544005,20020131,20991231,
745.69.04,COMMON ATRIOVENTRICULAR CANAL DEFECT,8,,,0.88,APPROVED,4235784,Common atrioventricular canal,SNOMED,Condition,S,1,2,Clinical Finding,360481003,20020131,20991231,
289.81.5,PROTEIN C DEFICIENCY,6,,,1,APPROVED,4296445,Protein C deficiency disease,SNOMED,Condition,S,1,2,Clinical Finding,76407009,20020131,20991231,
646.80.1,herpes gestationis/ puppp,16,,,0.59,APPROVED,4311256,Herpes gestationis,SNOMED,Condition,S,4,2,Clinical Finding,86081009,20020131,20991231,
646.80.1,herpes gestationis/ puppp,16,,,0.59,APPROVED,4228043,Pruritic urticarial papules and plaques of pregnancy,SNOMED,Condition,S,0,4,Clinical Finding,88697005,20020131,20991231,
571.8.02,FATTY LIVER (NONALCOHOLIC),3,,,0.7,APPROVED,4026131,Non-alcoholic fatty liver,SNOMED,Condition,S,1,1,Clinical Finding,197315008,20020131,20991231,
331.3.09,COMMUNICATING HYDROCEPHALUS,2,,,1,APPROVED,440700,Communicating hydrocephalus,SNOMED,Condition,S,7,1,Clinical Finding,271569006,20020131,20991231,
289.81.6,PROTEIN S DEFICIENCY,16,,,1,APPROVED,4049147,Protein S deficiency disease,SNOMED,Condition,S,1,2,Clinical Finding,1563006,20020131,20991231,
424.2.01,TRICUSPID INSUFFICIENCY / REGURGITATION,14,,,0.77,APPROVED,4006971,Tricuspid valve regurgitation,SNOMED,Condition,S,12,3,Clinical Finding,111287006,20020131,20991231,
348.0.01,ARACHNOID CYST -  CEREBRAL,1,,,0.66,APPROVED,4099843,Cerebral arachnoid cyst,SNOMED,Condition,S,1,3,Clinical Finding,253162003,20020131,20991231,
448.1.01,SEBACEOUS NEVUS,2,,,1,APPROVED,45772903,Sebaceous nevus,SNOMED,Condition,S,2,1,Clinical Finding,707136009,20150131,20991231,
331.5.01,ARRESTED HYDROCEPHALUS,2,,,1,APPROVED,4165726,Arrested hydrocephalus,SNOMED,Condition,S,0,2,Clinical Finding,4113009,20020131,20991231,
659.70.3,FETAL  BRADYCARDIA UNSPECIFIED,2,,,0.58,APPROVED,314749,Fetal bradycardia,SNOMED,Condition,S,0,2,Clinical Finding,240299002,20020131,20991231,
289.81.7,PROTHROMBIN GENE MUTATION,14,,,0.72,APPROVED,4261810,Prothrombin G20210A mutation,SNOMED,Condition,S,2,1,Clinical Finding,440989002,20090131,20991231,
38.42,SEPTICEMIA DUE TO ESCHERICHIA COLI (E. COLI),1,,,0.56,APPROVED,40487064,Sepsis due to Escherichia coli,SNOMED,Condition,S,2,2,Clinical Finding,447899008,20110731,20991231,
756.9.09,CONGENITAL ANOMALIES OF MUSCULOSKELETAL,1,,,0.83,APPROVED,135061,Congenital anomaly of musculoskeletal system,SNOMED,Condition,S,43,2,Clinical Finding,73573004,20020131,20991231,
623.8.01,VAGINAL BLEEDING,223,,,1,APPROVED,4129155,Vaginal bleeding,SNOMED,Condition,S,17,2,Clinical Finding,289530006,20020131,20991231,
733.90.03,OSTEOPENIA / LOW BONE MASS,1,,,0.57,APPROVED,4195039,Osteopenia,SNOMED,Condition,S,15,1,Clinical Finding,312894000,20020131,20991231,
659.73.3,FETAL BRADYCARDIA ANTEPARTUM,2,,,0.8,APPROVED,314749,Fetal bradycardia,SNOMED,Condition,S,0,2,Clinical Finding,240299002,20020131,20991231,
275.41.1,SEVERE HYPOCALCEMIA,2,,,0.83,APPROVED,435510,Hypocalcemia,SNOMED,Condition,S,12,1,Clinical Finding,5291005,20020131,20991231,
V34.01.01,TRIPLET A DELIVERED BY CESAREAN SECTION,7,,,0.65,APPROVED,4063163,"Multiple delivery, all by cesarean section",SNOMED,Condition,S,0,1,Clinical Finding,199331008,20020131,20991231,
353.0.05,BRACHIAL PLEXOPATHY,1,,,0.72,APPROVED,43531654,Cervical plexopathy,SNOMED,Condition,S,1,2,Clinical Finding,5.18E+12,20130731,20991231,
754.0.01,PLAGIOCEPHALY,3,,,1,APPROVED,4071059,Plagiocephaly,SNOMED,Condition,S,3,2,Clinical Finding,21850008,20020131,20991231,
276.1.01,SEVERE HYPONATREMIA,1,,,0.8,APPROVED,4232311,Hyponatremia,SNOMED,Condition,S,13,1,Clinical Finding,89627008,20020131,20991231,
456.8.09,VARICES OF OTHER SITES,2,,,0.68,APPROVED,312349,Venous varices,SNOMED,Condition,S,22,2,Clinical Finding,128060009,20020131,20991231,
754.89.01,ARTHROGRYPOSIS CONGENITAL,2,,,0.85,APPROVED,4009040,Arthrogryposis,SNOMED,Condition,S,7,2,Clinical Finding,111246005,20020131,20991231,
779.89.01,OSTEOPENIA OF PREMATURITY,25,,,1,APPROVED,4173343,Osteopenia of prematurity,SNOMED,Condition,S,0,1,Clinical Finding,276703007,20020131,20991231,
659.71.3,FETAL BRADYCARDIA DELIVERED,8,,,0.83,APPROVED,314749,Fetal bradycardia,SNOMED,Condition,S,0,2,Clinical Finding,240299002,20020131,20991231,
759.89.05,VATER / VACTER SYNDROME,1,,,0.75,APPROVED,4100484,VATER association,SNOMED,Condition,S,0,1,Clinical Finding,27742002,20020131,20991231,
692.72.1,POLYMORPHUS LIGHT ERUPTION,5,,,0.88,APPROVED,4080921,Polymorphous light eruption,SNOMED,Condition,S,6,4,Clinical Finding,238525001,20020131,20991231,
742.4.05,PORENCEPHALY,1,,,1,APPROVED,4302086,Acquired porencephaly,SNOMED,Condition,S,1,1,Clinical Finding,38837006,20020131,20991231,
V34.01.02,TRIPLET B DELIVERED BY CESAREAN SECTION,6,,,0.63,APPROVED,4063163,"Multiple delivery, all by cesarean section",SNOMED,Condition,S,0,1,Clinical Finding,199331008,20020131,20991231,
4.9,SHIGELLOSIS UNSPECIFIED,1,,,0.68,APPROVED,201780,Shigellosis,SNOMED,Condition,S,0,2,Clinical Finding,36188001,20020131,20991231,
553.29.09,VENTRAL HERNIA,1,,,1,APPROVED,4188155,Hernia of anterior abdominal wall,SNOMED,Condition,S,9,1,Clinical Finding,414396006,20050131,20991231,
746.84.01,SHONE'S SYNDROME,5,,,0.86,APPROVED,43020504,Shone complex,SNOMED,Condition,S,0,4,Clinical Finding,4.14E+13,20130131,20991231,
756.0.10,BULGING FONTANELS,1,,,0.91,APPROVED,4011769,Bulging fontanelle,SNOMED,Condition,S,1,1,Clinical Finding,103019006,20020131,20991231,
659.73.6,FETAL DECELERATION ANTEPARTUM,1,,,0.66,APPROVED,4090074,Fetal heart deceleration,SNOMED,Condition,S,4,1,Clinical Finding,251673004,20020131,20991231,
47.9,ASEPTIC (VIRAL)  MENINGITIS,4,,,0.45,APPROVED,4201096,Aseptic meningitis,SNOMED,Condition,S,5,1,Clinical Finding,301770000,20020131,20991231,
77.99,VIRAL CONJUNCTIVITIS,2,,,1,APPROVED,380038,Viral conjunctivitis,SNOMED,Condition,S,12,2,Clinical Finding,45261009,20020131,20991231,
709.09.03,CAFE AU LAIT SPOTS,3,,,1,APPROVED,4066941,Caf̩ au lait spots,SNOMED,Condition,S,3,1,Clinical Finding,201281002,20020131,20991231,
41.7,PSEUDOMONAS INFECTION,1,,,1,APPROVED,438064,Bacterial infection due to Pseudomonas,SNOMED,Condition,S,10,1,Clinical Finding,63398001,20020131,20991231,
425.4.07,CARDIOMYOPATHY UNSPECIFIED,5,,,0.71,APPROVED,321319,Cardiomyopathy,SNOMED,Condition,S,32,1,Clinical Finding,85898001,20020131,20991231,
V34.01.03,TRIPLET C DELIVERED BY CESAREAN SECTION,7,,,0.65,APPROVED,4063163,"Multiple delivery, all by cesarean section",SNOMED,Condition,S,0,1,Clinical Finding,199331008,20020131,20991231,
8.69,VIRAL GASTROENTERITIS,9,,,1,APPROVED,4008724,Viral gastroenteritis,SNOMED,Condition,S,11,3,Clinical Finding,111843007,20020131,20991231,
758.6.02,TURNER SYNDROME,2,,,1,APPROVED,4307885,Turner syndrome,SNOMED,Condition,S,8,2,Clinical Finding,38804009,20020131,20991231,
659.73.4,FETAL TACHYCARDIA ANTEPARTUM,2,,,0.77,APPROVED,317100,Fetal tachycardia,SNOMED,Condition,S,3,3,Clinical Finding,240298005,20020131,20991231,
54.19,OTHER GENITAL HERPES,1,,,0.71,APPROVED,74855,Genital herpes simplex,SNOMED,Condition,S,8,3,Clinical Finding,33839006,20020131,20991231,
79.9,VIRAL INFECTION,3,,,1,APPROVED,440029,Viral disease,SNOMED,Condition,S,34,1,Clinical Finding,34014006,20020131,20991231,
V30.01.07,POST TERM SINGLE LIVEBORN DELIVERED BY CESAREAN SECTION,33,,,0.74,APPROVED,437369,Postmature infancy,SNOMED,Condition,S,1,1,Clinical Finding,16207008,20020131,20991231,
686.9.09,CELLULITIS OF UNSPECIFIED SITE,2,,,0.59,APPROVED,435613,Cellulitis,SNOMED,Condition,S,18,1,Clinical Finding,128045006,20020131,20991231,
659.71.4,FETAL TACHYCARDIA DELIVERED,2,,,0.8,APPROVED,317100,Fetal tachycardia,SNOMED,Condition,S,3,3,Clinical Finding,240298005,20020131,20991231,
920.0.03,CEPHALHEMATOMA (TRAUMATIC,13,,,0.73,APPROVED,4307826,Fetal cephalhematoma,SNOMED,Condition,S,0,6,Clinical Finding,83095000,20020131,20991231,
751.2.09,ATRESIA AND STENOSIS OF LARGE INTESTINE RECTUM AND ANAL CANAL,1,,,0.94,APPROVED,198550,"Atresia and stenosis of large intestine, rectum and anal canal",SNOMED,Condition,S,0,1,Clinical Finding,268205005,20020131,20991231,
48,VIRAL MENINGITIS DUE TO ENTEROVIRUS,3,,,0.96,APPROVED,4102297,Enterovirus meningitis,SNOMED,Condition,S,6,2,Clinical Finding,28192008,20020131,20991231,
V30.00.07,POST TERM SINGLE LIVEBORN. BORN IN HOSPITAL,214,,,0.69,APPROVED,440833,Postmaturity of fetus,SNOMED,Condition,S,0,2,Clinical Finding,433145001,20080731,20991231,
V30.00.07,POST TERM SINGLE LIVEBORN. BORN IN HOSPITAL,214,,,0.69,APPROVED,36675035,Prematurity of infant,SNOMED,Condition,S,3,1,Clinical Finding,771299009,20190131,20991231,
514.0.03,PULMONARY CONGESTION,1,,,1,APPROVED,4194173,Pulmonary congestion,SNOMED,Condition,S,1,2,Clinical Finding,67599009,20020131,20991231,
V33.00.01,TWIN A BORN IN HOSPITAL DELIVERED WITHOUT CESAREAN SECTION,129,,,0.83,APPROVED,42535052,Twin live born in hospital by vaginal delivery,SNOMED,Condition,S,0,1,Clinical Finding,1.51E+14,20180131,20991231,
750.3.01,ATRESIA OF ESOPHAGUS,1,,,0.85,APPROVED,4095108,Congenital atresia of esophagus,SNOMED,Condition,S,4,2,Clinical Finding,26179002,20020131,20991231,
266.2.02,VITAMIN  B12 DEFICIENCY,2,,,0.72,APPROVED,4100822,Cobalamin deficiency,SNOMED,Condition,S,2,2,Clinical Finding,190634004,20020131,20991231,
659.71.7,FETAL VARIABLE DECELERATION DELIVERED,2,,,0.71,APPROVED,37311621,Variable fetal heart decelerations,SNOMED,Condition,S,0,1,Clinical Finding,789258006,20200131,20991231,
753.8.01,POSTERIOR URETHRAL VALVE,3,,,1,APPROVED,4113455,Congenital posterior urethral valves,SNOMED,Condition,S,0,1,Clinical Finding,253900005,20020131,20991231,
416.8.01,PULMONARY HYPERTENSION SECONDARY,1,,,0.94,APPROVED,4339214,Secondary pulmonary hypertension,SNOMED,Condition,S,9,1,Clinical Finding,88223008,20020131,20991231,
729.1.03,FIBROMYALGIA,39,,,1,APPROVED,40405599,Fibromyalgia,SNOMED,Condition,S,1,5,Clinical Finding,203082005,20160131,20991231,
746.89.02,ATRESIA OF MITRAL VALVE,1,,,0.86,APPROVED,4048042,Congenital atresia of mitral valve,SNOMED,Condition,S,2,2,Clinical Finding,23063005,20020131,20991231,
780.79.9,WEAKNESS,4,,,1,APPROVED,437113,Asthenia,SNOMED,Condition,S,8,1,Clinical Finding,13791008,20020131,20991231,
416.8.02,PULMONARY HYPERTENSION UNSPECIFIED,22,,,0.78,APPROVED,4322024,Pulmonary hypertension,SNOMED,Condition,S,12,1,Clinical Finding,70995007,20020131,20991231,
427.8912,POSTURAL TACHYCARDIA SYNDROME,3,,,0.88,APPROVED,4159659,Postural orthostatic tachycardia syndrome,SNOMED,Condition,S,0,1,Clinical Finding,371073003,20020731,20991231,
746.89.2,ATRESIA OF MITRAL VALVE,1,,,0.86,APPROVED,4048042,Congenital atresia of mitral valve,SNOMED,Condition,S,2,2,Clinical Finding,23063005,20020131,20991231,
579.8.09,OTHER SPECIFIED INTESTINAL MALABSORPTION,1,,,0.77,APPROVED,194993,Intestinal malabsorption,SNOMED,Condition,S,4,2,Clinical Finding,197476001,20020131,20991231,
780.2.02,PRE SYNCOPE,14,,,0.91,APPROVED,4142895,Near syncope,SNOMED,Condition,S,0,1,Clinical Finding,427461000,20070731,20991231,
792.3.01,FIRST TRIMESTER SCREENING TEST ABNORMALITY,1,,,0.76,APPROVED,42538969,First trimester Down screening blood test abnormal,SNOMED,Condition,S,0,2,Clinical Finding,9.48E+13,20180131,20991231,
V33.00.1,TWIN A BORN IN HOSPITAL DELIVERED WITHOUT CESAREAN SECTION,1,,,0.83,APPROVED,42535052,Twin live born in hospital by vaginal delivery,SNOMED,Condition,S,0,1,Clinical Finding,1.51E+14,20180131,20991231,
789.08,FLANK PAIN,35,,,1,APPROVED,4090433,Flank pain,SNOMED,Condition,S,3,2,Clinical Finding,247355005,20020131,20991231,
38.19,OTHER STAPHYLOCOCCAL SEPTICEMIA,3,,,0.67,APPROVED,435459,Staphylococcal infectious disease,SNOMED,Condition,S,24,1,Clinical Finding,56038003,20020131,20991231,
746.01.09,ATRESIA OF PULMONARY VALVE CONGENITAL,4,,,0.96,APPROVED,320206,Congenital atresia of pulmonary valve,SNOMED,Condition,S,5,3,Clinical Finding,204342004,20020131,20991231,
289.81.2,antithrombin III deficiency,2,,,1,APPROVED,4264220,Antithrombin III deficiency,SNOMED,Condition,S,3,2,Clinical Finding,36351005,20020131,20991231,
